Variant,Date Hour and Minute,Source / Medium,City,Sessions,ga:goal14Completions,ga:goal17Completions,ga:goal18Completions
0,202304110859,yandex / cpc,Saint Petersburg,1,0,0,0
0,202304110900,yandex / cpc,Saint Petersburg,0,0,0,0
0,202304110907,promo_widget / leadplan,Belgrade,1,0,0,0
0,202304110908,promo_widget / leadplan,Belgrade,0,0,0,0
0,202304110908,psyalter.typeform.com / referral,Samara,1,0,0,0
0,202304110910,google / organic,Surgut,1,0,0,0
0,202304110910,yandex / cpc,Saint Petersburg,1,0,0,0
0,202304110911,google / organic,Surgut,0,0,0,0
0,202304110917,google / organic,(not set),1,0,0,0
0,202304110920,google / organic,(not set),1,0,0,0
0,202304110920,promo_widget / leadplan,Belgrade,0,0,0,0
0,202304110921,google / organic,(not set),0,0,0,0
0,202304110921,google / organic,Domodedovo,1,0,0,0
0,202304110922,(direct) / (none),Lukhovitsy,1,0,0,0
0,202304110922,google / organic,Domodedovo,0,0,0,0
0,202304110923,(direct) / (none),Lukhovitsy,0,0,0,0
0,202304110923,google / organic,(not set),0,0,0,0
0,202304110924,(direct) / (none),Lukhovitsy,0,0,0,0
0,202304110924,google / organic,(not set),0,0,0,0
0,202304110924,google / organic,Domodedovo,0,0,0,0
0,202304110924,google / organic,Vladivostok,1,0,0,0
0,202304110924,yandex / cpc,Tver,1,0,0,0
0,202304110927,yandex / cpc,Moscow,1,0,0,0
0,202304110927,yandex / cpc,Tver,0,0,0,0
0,202304110928,google / organic,Domodedovo,0,0,0,0
0,202304110928,yandex / cpc,Moscow,0,0,0,0
0,202304110928,yandex / cpc,Tver,0,0,0,0
0,202304110930,google / organic,Omsk,1,0,0,0
0,202304110932,yandex.ru / referral,Vidnoye,1,0,0,0
0,202304110933,gdeslon / cpa,Hanau,1,0,0,0
0,202304110933,yandex.ru / referral,Tver,1,0,0,0
0,202304110934,gdeslon / cpa,Hanau,0,0,0,0
0,202304110934,google / organic,Chelyabinsk,1,0,0,0
0,202304110934,yandex.ru / referral,Vidnoye,0,0,0,0
0,202304110935,gdeslon / cpa,Hanau,0,0,0,0
0,202304110935,google / organic,Moscow,1,0,0,0
0,202304110935,yandex.ru / referral,Nizhny Novgorod,1,0,0,0
0,202304110936,google / organic,Chelyabinsk,0,0,0,0
0,202304110937,gdeslon / cpa,Hanau,0,0,0,0
0,202304110937,youtube / influence,Kraskovo,1,0,0,0
0,202304110938,gdeslon / cpa,Hanau,0,0,0,0
0,202304110938,youtube / influence,Kraskovo,0,0,0,0
0,202304110939,google / organic,Moscow,0,0,0,0
0,202304110940,youtube / influence,Kraskovo,0,0,0,0
0,202304110941,google / organic,Chelyabinsk,0,0,0,0
0,202304110942,gdeslon / cpa,Hanau,0,0,0,0
0,202304110942,google / organic,Vladivostok,1,0,0,0
